Provincia,Localidad,Cantidad,Latitud,Longitud,direccion_completa
Córdoba,BARRIO PATRICIOS,1,-31.3684380,-64.1398438,"Córdoba, BARRIO PATRICIOS"
Córdoba,BARRIO YOFRE,1,-31.3792291,-64.1295807,"Córdoba, BARRIO YOFRE"
Córdoba,BERROTARAN,1,-32.4527320,-64.3879167,"Córdoba, BERROTARAN"
Córdoba,CORONEL MOLDES,1,-33.6207930,-64.5918428,"Córdoba, CORONEL MOLDES"
Córdoba,Ballesteros,1,-32.5453242,-62.9811138,"Córdoba, Ballesteros"
Córdoba,Barrio  ALBERDI,1,-31.4048744,-64.2140399,"Córdoba, Barrio  ALBERDI"
Córdoba,Barrio San Justo,1,-31.6449433,-63.9035120,"Córdoba, Barrio San Justo"
Córdoba,Bell Ville,1,-32.6300707,-62.6888782,"Córdoba, Bell Ville"
Córdoba,CAVALANGO,1,-31.4336385,-64.1301084,"Córdoba, CAVALANGO"
Córdoba,CHARRAS,1,-33.0231404,-64.0449781,"Córdoba, CHARRAS"
Córdoba,CHUCUL,1,-33.0115108,-64.1701565,"Córdoba, CHUCUL"
Córdoba,CIUDAD AUTONOMA DE BUENOS AIRESLANGO,1,,,"Córdoba, CIUDAD AUTONOMA DE BUENOS AIRESLANGO"
Córdoba,COLON,1,8.0994146,-75.3471661,"Córdoba, COLON"
Córdoba,COLONIA ALMADA,1,-32.0348259,-63.8644218,"Córdoba, COLONIA ALMADA"
Córdoba,COLONIA VIGNAUD,1,-30.8420525,-61.9560276,"Córdoba, COLONIA VIGNAUD"
Córdoba,COMUNA ESTANCIA VIEJA,1,-31.3911308,-64.5207426,"Córdoba, COMUNA ESTANCIA VIEJA"
Córdoba,COMUNA SAN ROQUE,1,-31.3462390,-64.4545382,"Córdoba, COMUNA SAN ROQUE"
Mendoza,COLONIA ALVEAR OESTE,1,-34.9963156,-67.6567049,"Mendoza, COLONIA ALVEAR OESTE"
Mendoza,COQUIMBO,1,-30.5000000,-70.9166670,"Mendoza, COQUIMBO"
Mendoza,CRACRAS DE CORIA,1,,,"Mendoza, CRACRAS DE CORIA"
Provincia de Buenos Aires,FATIMA,1,-34.4721371,-58.7577766,"Provincia de Buenos Aires, FATIMA"
Provincia de Buenos Aires,FLORENTINO AMEGHINO,1,-34.8452487,-62.4668089,"Provincia de Buenos Aires, FLORENTINO AMEGHINO"
Provincia de Buenos Aires,FRANCISCO MADERO,1,-35.8497787,-62.0667476,"Provincia de Buenos Aires, FRANCISCO MADERO"
Provincia de Buenos Aires,Florencio Varela,1,-34.8044384,-58.2783224,"Provincia de Buenos Aires, Florencio Varela"
Provincia de Buenos Aires,Francisco Alvarez,1,-34.6322374,-58.8552824,"Provincia de Buenos Aires, Francisco Alvarez"
Provincia de Buenos Aires,GENERAL GUIDO,1,-36.6416863,-57.7921132,"Provincia de Buenos Aires, GENERAL GUIDO"
Provincia de Buenos Aires,GENERAL LAVALLE,1,-36.4063403,-56.9432260,"Provincia de Buenos Aires, GENERAL LAVALLE"
Provincia de Buenos Aires,GENERAL O BRIEN,1,-34.9057210,-60.7603035,"Provincia de Buenos Aires, GENERAL O BRIEN"
Provincia de Buenos Aires,GENERAL PECHECO,1,,,"Provincia de Buenos Aires, GENERAL PECHECO"
Provincia de Buenos Aires,GENERAL ROJO,1,-33.4729766,-60.2870035,"Provincia de Buenos Aires, GENERAL ROJO"
Provincia de Buenos Aires,GENERAL VILLEGAS,1,-35.0325940,-63.0148473,"Provincia de Buenos Aires, GENERAL VILLEGAS"
Provincia de Buenos Aires,GERMANIA,1,-34.5768249,-62.0480101,"Provincia de Buenos Aires, GERMANIA"
Provincia de Buenos Aires,GLORIA DE LA PEREGRINA,1,-37.9072252,-57.7843306,"Provincia de Buenos Aires, GLORIA DE LA PEREGRINA"
Provincia de Buenos Aires,GOBERNADOR CASTRO,1,-33.6585733,-59.8675097,"Provincia de Buenos Aires, GOBERNADOR CASTRO"
Provincia de Buenos Aires,GODOY CRUZ VILLA,1,-34.5441318,-58.5775186,"Provincia de Buenos Aires, GODOY CRUZ VILLA"
Provincia de Buenos Aires,GORINA,1,-34.9045942,-58.0442584,"Provincia de Buenos Aires, GORINA"
Provincia de Buenos Aires,GREGORIO DE LAFERRER,1,,,"Provincia de Buenos Aires, GREGORIO DE LAFERRER"
Provincia de Buenos Aires,GUIDO VILLA GENERAL JOSE TOMAS,1,-34.5502992,-58.5535527,"Provincia de Buenos Aires, GUIDO VILLA GENERAL JOSE TOMAS"
Provincia de Buenos Aires,General Juan Madariaga,1,-36.9952343,-57.1369265,"Provincia de Buenos Aires, General Juan Madariaga"
Provincia de Buenos Aires,Glew,1,-34.8884450,-58.3845646,"Provincia de Buenos Aires, Glew"
Provincia de Buenos Aires,HUDSON,1,-34.7905659,-58.1559126,"Provincia de Buenos Aires, HUDSON"
Provincia de Buenos Aires,Haedo,1,-34.6431369,-58.5947185,"Provincia de Buenos Aires, Haedo"
Provincia de Buenos Aires,Highland Park Chapadmalal,1,,,"Provincia de Buenos Aires, Highland Park Chapadmalal"
Provincia de Buenos Aires,IGNACIO CORREAS,1,-35.0340719,-57.8440744,"Provincia de Buenos Aires, IGNACIO CORREAS"
Provincia de Buenos Aires,ING MASCHWITZ,1,,,"Provincia de Buenos Aires, ING MASCHWITZ"
Provincia de Buenos Aires,INGENIERO ADOLFO SOU,1,,,"Provincia de Buenos Aires, INGENIERO ADOLFO SOU"
Provincia de Buenos Aires,INGENIERO PABLO NOGUES,1,-34.4793139,-58.6989198,"Provincia de Buenos Aires, INGENIERO PABLO NOGUES"
Provincia de Buenos Aires,Isidro Casanova,1,-34.7036939,-58.5862360,"Provincia de Buenos Aires, Isidro Casanova"
Provincia de Buenos Aires,JAUREGUI JOSE MARIA,1,-34.5973573,-59.1762427,"Provincia de Buenos Aires, JAUREGUI JOSE MARIA"
Provincia de Buenos Aires,JOSE INGENIEROS,1,-34.7107763,-58.5372813,"Provincia de Buenos Aires, JOSE INGENIEROS"
Provincia de Buenos Aires,FATIMA ESTACION EMPALME,1,,,"Provincia de Buenos Aires, FATIMA ESTACION EMPALME"
Provincia de Buenos Aires,Ezpeleta,1,-34.7522785,-58.2453952,"Provincia de Buenos Aires, Ezpeleta"
Mendoza,Carrodilla,1,-32.9700099,-68.8497277,"Mendoza, Carrodilla"
Provincia de Buenos Aires,Ensenada,1,-34.8574895,-57.9077170,"Provincia de Buenos Aires, Ensenada"
Provincia de Buenos Aires,CARLOS SALAS,1,-35.3936982,-61.9970322,"Provincia de Buenos Aires, CARLOS SALAS"
Provincia de Buenos Aires,CARLOS SEPAGAZZINI,1,,,"Provincia de Buenos Aires, CARLOS SEPAGAZZINI"
Provincia de Buenos Aires,CARLOS TEJEDOR,1,-35.3916961,-62.4197892,"Provincia de Buenos Aires, CARLOS TEJEDOR"
Provincia de Buenos Aires,CARLOS ZPEGAZZINI,1,,,"Provincia de Buenos Aires, CARLOS ZPEGAZZINI"
Provincia de Buenos Aires,CIUDAD JARDIN EL LIBERTADOR,1,-34.5446569,-58.6015490,"Provincia de Buenos Aires, CIUDAD JARDIN EL LIBERTADOR"
Provincia de Buenos Aires,CLAROMECO,1,-38.8545815,-60.0672126,"Provincia de Buenos Aires, CLAROMECO"
Provincia de Buenos Aires,CLUB DE CAMPO ABRIL,1,-34.8115983,-58.1559858,"Provincia de Buenos Aires, CLUB DE CAMPO ABRIL"
Provincia de Buenos Aires,COSTA AZUL,1,-36.6704731,-56.6826909,"Provincia de Buenos Aires, COSTA AZUL"
Provincia de Buenos Aires,CUARTEL V,1,-38.7244668,-61.4423218,"Provincia de Buenos Aires, CUARTEL V"
