Provincia,Localidad,Cantidad,Latitud,Longitud,direccion_completa
Ciudad de Buenos Aires,CIUDAD AUTONOMA DE BUENOS AIRES,1286,-34.6083696,-58.4440583,"Ciudad de Buenos Aires, CIUDAD AUTONOMA DE BUENOS AIRES"
Santa Fe,ROSARIO,252,-32.9593609,-60.6617024,"Santa Fe, ROSARIO"
Córdoba,CORDOBA,233,37.8845813,-4.7760138,"Córdoba, CORDOBA"
Provincia de Buenos Aires,MAR DEL PLATA,208,-37.9976168,-57.5482079,"Provincia de Buenos Aires, MAR DEL PLATA"
Provincia de Buenos Aires,LA PLATA,151,-34.9206797,-57.9537638,"Provincia de Buenos Aires, LA PLATA"
Provincia de Buenos Aires,BAHIA BLANCA,137,-38.7176522,-62.2654871,"Provincia de Buenos Aires, BAHIA BLANCA"
Chubut,COMODORO RIVADAVIA,128,-45.8632024,-67.4752615,"Chubut, COMODORO RIVADAVIA"
Río Negro,SAN CARLOS DE BARILOCHE,124,-41.1334781,-71.3101474,"Río Negro, SAN CARLOS DE BARILOCHE"
Provincia de Buenos Aires,PUNTA ALTA,101,-38.8804693,-62.0744033,"Provincia de Buenos Aires, PUNTA ALTA"
Neuquén,NEUQUEN,81,-38.9519679,-68.0591741,"Neuquén, NEUQUEN"
Provincia de Buenos Aires,TANDIL,78,-37.3282887,-59.1356957,"Provincia de Buenos Aires, TANDIL"
Entre Ríos,PARANA,77,-31.7330145,-60.5298511,"Entre Ríos, PARANA"
Mendoza,SAN RAFAEL,77,-34.6126025,-68.3305140,"Mendoza, SAN RAFAEL"
Provincia de Buenos Aires,QUILMES,76,-34.7303025,-58.2688680,"Provincia de Buenos Aires, QUILMES"
Salta,SALTA,73,-24.7892946,-65.4103194,"Salta, SALTA"
Tierra del Fuego A. e I.A.S.,USHUAIA,72,-54.8255271,-68.3282413,"Tierra del Fuego A. e I.A.S., USHUAIA"
Santa Cruz,RIO GALLEGOS,66,-51.6268852,-69.1058040,"Santa Cruz, RIO GALLEGOS"
Entre Ríos,GUALEGUAYCHU,62,-33.0078908,-58.5109859,"Entre Ríos, GUALEGUAYCHU"
Provincia de Buenos Aires,NECOCHEA,62,-38.5545494,-58.7392624,"Provincia de Buenos Aires, NECOCHEA"
Provincia de Buenos Aires,LOMAS DE ZAMORA,61,-34.7572582,-58.4026638,"Provincia de Buenos Aires, LOMAS DE ZAMORA"
Chubut,TRELEW,59,-43.2531242,-65.3094407,"Chubut, TRELEW"
Córdoba,VILLA CARLOS PAZ,55,-31.4183774,-64.4936985,"Córdoba, VILLA CARLOS PAZ"
Chaco,RESISTENCIA,55,-27.6048829,-59.1932003,"Chaco, RESISTENCIA"
Provincia de Buenos Aires,MORON,53,-34.6510527,-58.6217416,"Provincia de Buenos Aires, MORON"
Entre Ríos,GUALEGUAY,53,-33.1504259,-59.3106789,"Entre Ríos, GUALEGUAY"
Provincia de Buenos Aires,BANFIELD,52,-34.7437455,-58.3960811,"Provincia de Buenos Aires, BANFIELD"
Provincia de Buenos Aires,MERLO,52,-34.6604988,-58.7321695,"Provincia de Buenos Aires, MERLO"
Provincia de Buenos Aires,ITUZAINGO,52,-34.6583293,-58.6671441,"Provincia de Buenos Aires, ITUZAINGO"
Río Negro,GENERAL ROCA,51,-39.0268342,-67.5754674,"Río Negro, GENERAL ROCA"
Provincia de Buenos Aires,MIRAMAR,50,-38.2704349,-57.8387997,"Provincia de Buenos Aires, MIRAMAR"
Corrientes,CORRIENTES,49,-27.4687004,-58.8311982,"Corrientes, CORRIENTES"
Santiago del Estero,SANTIAGO DEL ESTERO,49,-27.7877148,-64.2595062,"Santiago del Estero, SANTIAGO DEL ESTERO"
Provincia de Buenos Aires,BERAZATEGUI,48,-34.7632677,-58.2116604,"Provincia de Buenos Aires, BERAZATEGUI"
Córdoba,RIO CUARTO,47,-33.1237585,-64.3489782,"Córdoba, RIO CUARTO"
Santa Fe,SANTA FE,47,35.6876096,-105.9384560,"Santa Fe, SANTA FE"
Provincia de Buenos Aires,VILLA BALLESTER,47,-34.5483812,-58.5564925,"Provincia de Buenos Aires, VILLA BALLESTER"
Provincia de Buenos Aires,SAN MIGUEL,46,-34.5403490,-58.7157491,"Provincia de Buenos Aires, SAN MIGUEL"
Entre Ríos,CONCORDIA,45,-31.3401914,-58.0263642,"Entre Ríos, CONCORDIA"
Provincia de Buenos Aires,RAMOS MEJIA,44,-34.6481661,-58.5622869,"Provincia de Buenos Aires, RAMOS MEJIA"
Misiones,POSADAS,44,-27.3664824,-55.8942950,"Misiones, POSADAS"
Provincia de Buenos Aires,TEMPERLEY,43,-34.7758816,-58.3971199,"Provincia de Buenos Aires, TEMPERLEY"
Provincia de Buenos Aires,LANUS OESTE,43,-34.7035417,-58.4005120,"Provincia de Buenos Aires, LANUS OESTE"
Provincia de Buenos Aires,PERGAMINO,42,-33.8974950,-60.5750460,"Provincia de Buenos Aires, PERGAMINO"
Provincia de Buenos Aires,CASEROS,42,-34.6073660,-58.5661311,"Provincia de Buenos Aires, CASEROS"
Provincia de Buenos Aires,SAN NICOLAS DE LOS ARROYOS,42,-33.3277089,-60.2165909,"Provincia de Buenos Aires, SAN NICOLAS DE LOS ARROYOS"
Provincia de Buenos Aires,MONTE GRANDE,41,-34.8192731,-58.4664257,"Provincia de Buenos Aires, MONTE GRANDE"
Mendoza,GODOY CRUZ,41,-32.9283499,-68.9050558,"Mendoza, GODOY CRUZ"
Provincia de Buenos Aires,MORENO,41,-34.6396556,-58.7898326,"Provincia de Buenos Aires, MORENO"
Provincia de Buenos Aires,CASTELAR,41,-34.6555638,-58.6425128,"Provincia de Buenos Aires, CASTELAR"
San Luis,SAN LUIS,40,-33.3020736,-66.3369577,"San Luis, SAN LUIS"
Córdoba,ALTA GRACIA,39,-31.6578916,-64.4338563,"Córdoba, ALTA GRACIA"
Provincia de Buenos Aires,9 DE JULIO,37,-35.4439161,-60.8845839,"Provincia de Buenos Aires, 9 DE JULIO"
Provincia de Buenos Aires,GENERAL RODRIGUEZ,37,-34.6082302,-58.9522206,"Provincia de Buenos Aires, GENERAL RODRIGUEZ"
Santa Fe,RAFAELA,36,-31.2526923,-61.4916758,"Santa Fe, RAFAELA"
Provincia de Buenos Aires,SAN PEDRO,35,-33.6760716,-59.6629342,"Provincia de Buenos Aires, SAN PEDRO"
Provincia de Buenos Aires,PINAMAR,34,-37.1099492,-56.8539007,"Provincia de Buenos Aires, PINAMAR"
Provincia de Buenos Aires,CAMPANA,34,-34.1636631,-58.9586837,"Provincia de Buenos Aires, CAMPANA"
Provincia de Buenos Aires,OLAVARRIA,34,-36.8938752,-60.3231676,"Provincia de Buenos Aires, OLAVARRIA"
Córdoba,VILLA MARIA,33,-32.4106245,-63.2435809,"Córdoba, VILLA MARIA"
La Rioja,LA RIOJA,33,42.2814642,-2.4828050,"La Rioja, LA RIOJA"
Mendoza,MENDOZA,33,-32.8894155,-68.8446177,"Mendoza, MENDOZA"
Tucumán,SAN MIGUEL DE TUCUMAN,32,-26.8303703,-65.2038133,"Tucumán, SAN MIGUEL DE TUCUMAN"
Provincia de Buenos Aires,QUILMES OESTE,32,-34.7476798,-58.3016167,"Provincia de Buenos Aires, QUILMES OESTE"
Chubut,RADA TILLY,31,-45.9238502,-67.5557769,"Chubut, RADA TILLY"
Provincia de Buenos Aires,OLIVOS,31,-34.5110708,-58.4901197,"Provincia de Buenos Aires, OLIVOS"
Mendoza,LAS HERAS,31,-32.8503256,-68.8406272,"Mendoza, LAS HERAS"
Córdoba,MINA CLAVERO,31,-31.7209484,-65.0038795,"Córdoba, MINA CLAVERO"
Provincia de Buenos Aires,PEHUAJO,30,-35.8104933,-61.8990550,"Provincia de Buenos Aires, PEHUAJO"
Provincia de Buenos Aires,LANUS,30,-34.7033363,-58.3953235,"Provincia de Buenos Aires, LANUS"
La Pampa,SANTA ROSA,29,-36.6203503,-64.2905765,"La Pampa, SANTA ROSA"
Provincia de Buenos Aires,SALADILLO,29,-35.6388525,-59.7794241,"Provincia de Buenos Aires, SALADILLO"
Tierra del Fuego A. e I.A.S.,RIO GRANDE,28,-53.7858275,-67.7018562,"Tierra del Fuego A. e I.A.S., RIO GRANDE"
Río Negro,CIPOLLETTI,28,-39.0458766,-67.8025558,"Río Negro, CIPOLLETTI"
Provincia de Buenos Aires,MARTINEZ,28,-34.4939666,-58.5103520,"Provincia de Buenos Aires, MARTINEZ"
Provincia de Buenos Aires,BOULOGNE,28,-34.5090260,-58.5648877,"Provincia de Buenos Aires, BOULOGNE"
Provincia de Buenos Aires,EL PALOMAR,28,-34.6225227,-58.5955680,"Provincia de Buenos Aires, EL PALOMAR"
La Pampa,GENERAL PICO,28,-35.6591085,-63.7576103,"La Pampa, GENERAL PICO"
Provincia de Buenos Aires,WILDE,28,-34.6984264,-58.3145920,"Provincia de Buenos Aires, WILDE"
Chubut,RAWSON,27,-43.2995252,-65.1055636,"Chubut, RAWSON"
Santa Fe,VENADO TUERTO,27,-33.7455871,-61.9686068,"Santa Fe, VENADO TUERTO"
Chubut,PUERTO MADRYN,27,-42.7673414,-65.0365942,"Chubut, PUERTO MADRYN"
Provincia de Buenos Aires,JUNIN,27,-34.5934412,-60.9461678,"Provincia de Buenos Aires, JUNIN"
Provincia de Buenos Aires,FLORIDA,27,-34.5322058,-58.4937312,"Provincia de Buenos Aires, FLORIDA"
Chubut,ESQUEL,27,-42.9173055,-71.3216508,"Chubut, ESQUEL"
Catamarca,SAN FDO DEL VALLE DE CATAMARCA,27,,,"Catamarca, SAN FDO DEL VALLE DE CATAMARCA"
San Juan,SAN JUAN,26,-31.5370909,-68.5251802,"San Juan, SAN JUAN"
Córdoba,SAN FRANCISCO,26,-31.4249815,-62.0840299,"Córdoba, SAN FRANCISCO"
Provincia de Buenos Aires,ADROGUE,26,-34.7973853,-58.3885508,"Provincia de Buenos Aires, ADROGUE"
Mendoza,GENERAL ALVEAR,25,-34.9776218,-67.6963461,"Mendoza, GENERAL ALVEAR"
Provincia de Buenos Aires,FLORENCIO VARELA,25,-34.8044384,-58.2783224,"Provincia de Buenos Aires, FLORENCIO VARELA"
Provincia de Buenos Aires,CIUDADELA,25,-34.6399288,-58.5410771,"Provincia de Buenos Aires, CIUDADELA"
Provincia de Buenos Aires,REMEDIOS DE ESCALADA,25,-34.7275895,-58.3953738,"Provincia de Buenos Aires, REMEDIOS DE ESCALADA"
Santa Fe,Rosario,24,-32.9593609,-60.6617024,"Santa Fe, Rosario"
Provincia de Buenos Aires,GENERAL SAN MARTIN,24,-34.5771577,-58.5377237,"Provincia de Buenos Aires, GENERAL SAN MARTIN"
Córdoba,RIO TERCERO,24,-32.1767655,-64.1129881,"Córdoba, RIO TERCERO"
Provincia de Buenos Aires,AVELLANEDA,23,-34.6648394,-58.3628061,"Provincia de Buenos Aires, AVELLANEDA"
Provincia de Buenos Aires,Mar del Plata,23,-37.9976168,-57.5482079,"Provincia de Buenos Aires, Mar del Plata"
Río Negro,VIEDMA,23,-40.8084274,-62.9947220,"Río Negro, VIEDMA"
Provincia de Buenos Aires,BELLA VISTA,23,-34.5684085,-58.6894883,"Provincia de Buenos Aires, BELLA VISTA"
Provincia de Buenos Aires,LANUS ESTE,23,-34.7109137,-58.3742103,"Provincia de Buenos Aires, LANUS ESTE"
Provincia de Buenos Aires,VILLA LUZURIAGA,23,-34.6730997,-58.5939502,"Provincia de Buenos Aires, VILLA LUZURIAGA"
Provincia de Buenos Aires,BOLIVAR,23,-34.1048302,-59.0446782,"Provincia de Buenos Aires, BOLIVAR"
Provincia de Buenos Aires,SAN JUSTO,22,-34.6774186,-58.5607837,"Provincia de Buenos Aires, SAN JUSTO"
Córdoba,CAPILLA DEL MONTE,22,-30.8572075,-64.5263199,"Córdoba, CAPILLA DEL MONTE"
Entre Ríos,CONCEPCION DEL URUGUAY,22,-32.4851849,-58.2320232,"Entre Ríos, CONCEPCION DEL URUGUAY"
Provincia de Buenos Aires,ZARATE,22,-34.0954713,-59.0245097,"Provincia de Buenos Aires, ZARATE"
Provincia de Buenos Aires,TIGRE,22,-34.4235341,-58.5817628,"Provincia de Buenos Aires, TIGRE"
Provincia de Buenos Aires,PUERTO BELGRANO,21,-38.8778269,-62.0908210,"Provincia de Buenos Aires, PUERTO BELGRANO"
Provincia de Buenos Aires,LOBERIA,21,-37.3342741,-59.1169469,"Provincia de Buenos Aires, LOBERIA"
Provincia de Buenos Aires,LUJAN,21,-34.5661734,-59.1152598,"Provincia de Buenos Aires, LUJAN"
Neuquén,PLOTTIER,21,-38.9523098,-68.2270197,"Neuquén, PLOTTIER"
Mendoza,LUJAN DE CUYO,21,-33.1085238,-69.0129984,"Mendoza, LUJAN DE CUYO"
Catamarca,SAN FERNANDO DEL VALLE DE CATAMARCA,20,-28.4688806,-65.7790642,"Catamarca, SAN FERNANDO DEL VALLE DE CATAMARCA"
Provincia de Buenos Aires,SAN ISIDRO,20,-34.4739792,-58.5264866,"Provincia de Buenos Aires, SAN ISIDRO"
Provincia de Buenos Aires,PASO DEL REY,20,-34.6582188,-58.7620664,"Provincia de Buenos Aires, PASO DEL REY"
Mendoza,SAN MARTIN,19,-33.0805336,-68.4710695,"Mendoza, SAN MARTIN"
Córdoba,MARCOS JUAREZ,19,-32.6946933,-62.1043850,"Córdoba, MARCOS JUAREZ"
Provincia de Buenos Aires,SAN ANTONIO DE PADUA,19,-34.6674521,-58.6986561,"Provincia de Buenos Aires, SAN ANTONIO DE PADUA"
Provincia de Buenos Aires,GERLI,19,-34.6856660,-58.3826877,"Provincia de Buenos Aires, GERLI"
Provincia de Buenos Aires,GONZALEZ CATAN,19,-34.7692490,-58.6480318,"Provincia de Buenos Aires, GONZALEZ CATAN"
Provincia de Buenos Aires,CHASCOMUS,19,-35.5786869,-58.0138252,"Provincia de Buenos Aires, CHASCOMUS"
San Luis,MERLO,19,-32.3425580,-65.0136903,"San Luis, MERLO"
Provincia de Buenos Aires,BALCARCE,19,-37.8464435,-58.2555452,"Provincia de Buenos Aires, BALCARCE"
Santa Fe,SANTO TOME,19,-31.6630458,-60.7618282,"Santa Fe, SANTO TOME"
Provincia de Buenos Aires,SAN FERNANDO,19,-34.4471919,-58.5701505,"Provincia de Buenos Aires, SAN FERNANDO"
Provincia de Buenos Aires,VILLA DOMINICO,18,-34.6938734,-58.3324019,"Provincia de Buenos Aires, VILLA DOMINICO"
Córdoba,VILLA DEL ROSARIO,18,-31.5540883,-63.5352431,"Córdoba, VILLA DEL ROSARIO"
Provincia de Buenos Aires,CITY BELL,18,-34.8657439,-58.0420871,"Provincia de Buenos Aires, CITY BELL"
Mendoza,MALARGUE,18,-35.4752134,-69.5859340,"Mendoza, MALARGUE"
Santa Cruz,PUERTO DESEADO,18,-47.7516166,-65.9013234,"Santa Cruz, PUERTO DESEADO"
Santiago del Estero,LA BANDA,18,-27.7357077,-64.2434402,"Santiago del Estero, LA BANDA"
Provincia de Buenos Aires,BURZACO,18,-34.8258956,-58.3950536,"Provincia de Buenos Aires, BURZACO"
Provincia de Buenos Aires,LONGCHAMPS,18,-34.8580300,-58.3881462,"Provincia de Buenos Aires, LONGCHAMPS"
Provincia de Buenos Aires,HURLINGHAM,18,-34.5933423,-58.6378405,"Provincia de Buenos Aires, HURLINGHAM"
Mendoza,LA CONSULTA,18,-33.7366936,-69.1185092,"Mendoza, LA CONSULTA"
Córdoba,JESUS MARIA,18,-30.9764132,-64.0957082,"Córdoba, JESUS MARIA"
Provincia de Buenos Aires,VILLA GESELL,17,-37.2556627,-56.9679411,"Provincia de Buenos Aires, VILLA GESELL"
Provincia de Buenos Aires,DOLORES,17,-36.3153624,-57.6755399,"Provincia de Buenos Aires, DOLORES"
Provincia de Buenos Aires,CHIVILCOY,17,-34.8969591,-60.0190499,"Provincia de Buenos Aires, CHIVILCOY"
Río Negro,BARILOCHE,17,-41.1334781,-71.3101474,"Río Negro, BARILOCHE"
Provincia de Buenos Aires,EZEIZA,17,-34.8168141,-58.5474234,"Provincia de Buenos Aires, EZEIZA"
Chubut,LAGO PUELO,17,-42.1606250,-71.6401665,"Chubut, LAGO PUELO"
Neuquén,VILLA LA ANGOSTURA,17,-40.7620649,-71.6473205,"Neuquén, VILLA LA ANGOSTURA"
Entre Ríos,CRESPO,17,-32.0307826,-60.3062469,"Entre Ríos, CRESPO"
Provincia de Buenos Aires,SARANDI,17,-34.6807580,-58.3463289,"Provincia de Buenos Aires, SARANDI"
Provincia de Buenos Aires,MUNRO,17,-34.5296066,-58.5220231,"Provincia de Buenos Aires, MUNRO"
Provincia de Buenos Aires,HAEDO,17,-34.6431369,-58.5947185,"Provincia de Buenos Aires, HAEDO"
San Juan,RIVADAVIA,16,-31.5465955,-68.6505443,"San Juan, RIVADAVIA"
Provincia de Buenos Aires,MERCEDES,16,-34.6506717,-59.4317202,"Provincia de Buenos Aires, MERCEDES"
Provincia de Buenos Aires,VILLA MARTELLI,16,-34.5503634,-58.5105760,"Provincia de Buenos Aires, VILLA MARTELLI"
Santa Cruz,CALETA OLIVIA,16,-46.4421170,-67.5175069,"Santa Cruz, CALETA OLIVIA"
Provincia de Buenos Aires,LA TABLADA,16,-34.6867073,-58.5298812,"Provincia de Buenos Aires, LA TABLADA"
San Luis,VILLA MERCEDES,16,-33.6866361,-65.4954266,"San Luis, VILLA MERCEDES"
Formosa,FORMOSA,15,-26.1852983,-58.1744976,"Formosa, FORMOSA"
Provincia de Buenos Aires,BELEN DE ESCOBAR,15,-34.3453213,-58.7950701,"Provincia de Buenos Aires, BELEN DE ESCOBAR"
Provincia de Buenos Aires,CARMEN DE ARECO,15,-34.3766574,-59.8227267,"Provincia de Buenos Aires, CARMEN DE ARECO"
Provincia de Buenos Aires,San Carlos de Bolivar,15,-36.2363640,-61.1069265,"Provincia de Buenos Aires, San Carlos de Bolivar"
Provincia de Buenos Aires,RAFAEL CALZADA,15,-34.7916002,-58.3507175,"Provincia de Buenos Aires, RAFAEL CALZADA"
Provincia de Buenos Aires,SANTOS LUGARES,15,-34.5990188,-58.5474668,"Provincia de Buenos Aires, SANTOS LUGARES"
Provincia de Buenos Aires,OSTENDE,15,-37.1249787,-56.8835152,"Provincia de Buenos Aires, OSTENDE"
Jujuy,SAN SALVADOR DE JUJUY,15,-24.1852569,-65.2994789,"Jujuy, SAN SALVADOR DE JUJUY"
Provincia de Buenos Aires,VALENTIN ALSINA,15,-34.6719714,-58.4130153,"Provincia de Buenos Aires, VALENTIN ALSINA"
Corrientes,GOYA,14,-29.1444046,-59.2649825,"Corrientes, GOYA"
Provincia de Buenos Aires,SAN ANDRES,14,-34.5598529,-58.5405297,"Provincia de Buenos Aires, SAN ANDRES"
Provincia de Buenos Aires,25 DE MAYO,14,-35.4324152,-60.1716240,"Provincia de Buenos Aires, 25 DE MAYO"
Provincia de Buenos Aires,MANUEL B GONNET,14,-34.8799401,-58.0105360,"Provincia de Buenos Aires, MANUEL B GONNET"
Córdoba,SALSIPUEDES,14,-31.1364074,-64.2965681,"Córdoba, SALSIPUEDES"
Provincia de Buenos Aires,JOSE CLEMENTE PAZ,14,-34.6834755,-58.5299524,"Provincia de Buenos Aires, JOSE CLEMENTE PAZ"
Provincia de Buenos Aires,SAN CARLOS,14,-34.9291613,-57.9998631,"Provincia de Buenos Aires, SAN CARLOS"
Provincia de Buenos Aires,CIUDAD MADERO,14,-34.6884434,-58.4999411,"Provincia de Buenos Aires, CIUDAD MADERO"
Provincia de Buenos Aires,GLEW,14,-34.8884450,-58.3845646,"Provincia de Buenos Aires, GLEW"
Provincia de Buenos Aires,BECCAR,14,-34.4635418,-58.5343404,"Provincia de Buenos Aires, BECCAR"
Córdoba,BELL VILLE,14,-32.6300707,-62.6888782,"Córdoba, BELL VILLE"
Provincia de Buenos Aires,BERISSO,14,-34.8688565,-57.8828667,"Provincia de Buenos Aires, BERISSO"
Santa Cruz,PERITO MORENO,13,-46.5915874,-70.9255250,"Santa Cruz, PERITO MORENO"
Provincia de Buenos Aires,MARTIN CORONADO,13,-34.5889657,-58.5906699,"Provincia de Buenos Aires, MARTIN CORONADO"
Río Negro,EL BOLSON,13,-41.9649027,-71.5348197,"Río Negro, EL BOLSON"
Provincia de Buenos Aires,GENERAL PACHECO,13,-34.4537215,-58.6351056,"Provincia de Buenos Aires, GENERAL PACHECO"
Provincia de Buenos Aires,CARAPACHAY,13,-34.5288015,-58.5373885,"Provincia de Buenos Aires, CARAPACHAY"
Provincia de Buenos Aires,VILLA BOSCH,13,-34.5817375,-58.5805124,"Provincia de Buenos Aires, VILLA BOSCH"
Provincia de Buenos Aires,AZUL,13,-36.7774920,-59.8634420,"Provincia de Buenos Aires, AZUL"
Entre Ríos,ROSARIO DEL TALA,13,-32.3008178,-59.1388870,"Entre Ríos, ROSARIO DEL TALA"
Provincia de Buenos Aires,ISIDRO CASANOVA,13,-34.7036939,-58.5862360,"Provincia de Buenos Aires, ISIDRO CASANOVA"
Provincia de Buenos Aires,SAN VICENTE,13,-33.8967542,-60.5861157,"Provincia de Buenos Aires, SAN VICENTE"
Provincia de Buenos Aires,VILLA ADELINA,12,-34.5188426,-58.5486682,"Provincia de Buenos Aires, VILLA ADELINA"
Provincia de Buenos Aires,BERNAL,12,-34.7165710,-58.2977925,"Provincia de Buenos Aires, BERNAL"
Chubut,TREVELIN,12,-43.0791069,-71.4640493,"Chubut, TREVELIN"
Provincia de Buenos Aires,ALEJANDRO KORN,12,-34.9824024,-58.3754701,"Provincia de Buenos Aires, ALEJANDRO KORN"
Entre Ríos,CHAJARI,12,-30.7603828,-57.9852672,"Entre Ríos, CHAJARI"
Provincia de Buenos Aires,LINCOLN,12,-34.8683517,-61.5296207,"Provincia de Buenos Aires, LINCOLN"
Provincia de Buenos Aires,PIÑEYRO,12,-34.6697461,-58.3883434,"Provincia de Buenos Aires, PIÑEYRO"
Mendoza,SAN JOSE,12,-32.8894008,-68.8220111,"Mendoza, SAN JOSE"
Provincia de Buenos Aires,BENITO JUAREZ,12,-37.6743544,-59.8048475,"Provincia de Buenos Aires, BENITO JUAREZ"
Santa Fe,ROLDAN,12,-32.9001395,-60.9063984,"Santa Fe, ROLDAN"
Provincia de Buenos Aires,AYACUCHO,12,-37.1527482,-58.4884187,"Provincia de Buenos Aires, AYACUCHO"
Corrientes,SANTO TOME,11,-28.5497034,-56.0351419,"Corrientes, SANTO TOME"
Río Negro,Viedma,11,-40.8084274,-62.9947220,"Río Negro, Viedma"
Córdoba,LA FALDA,11,-31.0946192,-64.4829365,"Córdoba, LA FALDA"
Entre Ríos,VICTORIA,11,-32.8749610,-60.3387305,"Entre Ríos, VICTORIA"
Río Negro,VILLA REGINA,11,-39.0987435,-67.0852996,"Río Negro, VILLA REGINA"
Provincia de Buenos Aires,VERONICA,11,-35.3871490,-57.3383564,"Provincia de Buenos Aires, VERONICA"
Provincia de Buenos Aires,BERNAL ESTE,11,-34.7041959,-58.2747659,"Provincia de Buenos Aires, BERNAL ESTE"
Provincia de Buenos Aires,BENAVIDEZ,11,-34.4093110,-58.6845500,"Provincia de Buenos Aires, BENAVIDEZ"
Provincia de Buenos Aires,TORTUGUITAS,11,-34.4705116,-58.7587082,"Provincia de Buenos Aires, TORTUGUITAS"
Provincia de Buenos Aires,MUÑIZ,11,-34.5550359,-58.7065136,"Provincia de Buenos Aires, MUÑIZ"
Córdoba,RIO CEBALLOS,11,-31.1709088,-64.3160951,"Córdoba, RIO CEBALLOS"
Río Negro,DINA HUAPI,11,-41.0761031,-71.1720318,"Río Negro, DINA HUAPI"
Santa Fe,FUNES,11,-32.9168704,-60.8105603,"Santa Fe, FUNES"
Provincia de Buenos Aires,VILLA ROSA,11,-34.4162586,-58.8721314,"Provincia de Buenos Aires, VILLA ROSA"
Santa Fe,ARROYO SECO,10,-33.1546140,-60.5082223,"Santa Fe, ARROYO SECO"
Entre Ríos,COLON,10,-32.2182804,-58.1356171,"Entre Ríos, COLON"
Santa Fe,ESPERANZA,10,-31.4489940,-60.9304048,"Santa Fe, ESPERANZA"
Provincia de Buenos Aires,SANTA CLARA DEL MAR,10,-37.8359315,-57.5063504,"Provincia de Buenos Aires, SANTA CLARA DEL MAR"
Mendoza,CHACRAS DE CORIA,10,-32.9863466,-68.8821824,"Mendoza, CHACRAS DE CORIA"
Provincia de Buenos Aires,LOMAS DEL MIRADOR,10,-34.6631450,-58.5288492,"Provincia de Buenos Aires, LOMAS DEL MIRADOR"
Provincia de Buenos Aires,CLAYPOLE,10,-34.8042867,-58.3440907,"Provincia de Buenos Aires, CLAYPOLE"
Provincia de Buenos Aires,RAFAEL CASTILLO,10,-34.6996518,-58.6308765,"Provincia de Buenos Aires, RAFAEL CASTILLO"
Provincia de Buenos Aires,SAN MARTIN,10,-34.5771577,-58.5377237,"Provincia de Buenos Aires, SAN MARTIN"
Provincia de Buenos Aires,GRAND BOURG,10,-34.4885224,-58.7265324,"Provincia de Buenos Aires, GRAND BOURG"
Entre Ríos,SAN JOSE,10,-32.2122726,-58.2191465,"Entre Ríos, SAN JOSE"
Mendoza,MAIPU,10,-32.9836929,-68.7879502,"Mendoza, MAIPU"
Corrientes,PASO DE LOS LIBRES,10,-29.7136574,-57.0861369,"Corrientes, PASO DE LOS LIBRES"
Provincia de Buenos Aires,CORONEL PRINGLES,10,-37.9632996,-61.3690018,"Provincia de Buenos Aires, CORONEL PRINGLES"
Entre Ríos,Gualeguaychu,10,-33.0078908,-58.5109859,"Entre Ríos, Gualeguaychu"
Provincia de Buenos Aires,FLORIDA OESTE,10,-34.5387664,-58.5144051,"Provincia de Buenos Aires, FLORIDA OESTE"
Provincia de Buenos Aires,LIBERTAD,10,-34.7003704,-58.6834869,"Provincia de Buenos Aires, LIBERTAD"
Provincia de Buenos Aires,CARLOS CASARES,10,-35.6232368,-61.3650016,"Provincia de Buenos Aires, CARLOS CASARES"
Provincia de Buenos Aires,LLAVALLOL,10,-34.7965742,-58.4301778,"Provincia de Buenos Aires, LLAVALLOL"
Córdoba,VILLA DOLORES,10,-31.9449632,-65.1902298,"Córdoba, VILLA DOLORES"
Neuquén,CUTRAL CO,9,-38.9378831,-69.2293743,"Neuquén, CUTRAL CO"
Mendoza,PAREDITAS,9,-33.9425618,-69.0786038,"Mendoza, PAREDITAS"
Santa Fe,FIRMAT,9,-33.4581071,-61.4860292,"Santa Fe, FIRMAT"
Misiones,OBERA,9,-27.4849798,-55.1202965,"Misiones, OBERA"
Mendoza,GUAYMALLEN,9,-33.0563822,-68.8838390,"Mendoza, GUAYMALLEN"
Neuquén,CENTENARIO,9,-38.8301384,-68.1215201,"Neuquén, CENTENARIO"
Entre Ríos,FEDERACION,9,-30.9856574,-57.9194395,"Entre Ríos, FEDERACION"
Provincia de Buenos Aires,VILLA LIBERTAD,9,-34.6850347,-58.4015485,"Provincia de Buenos Aires, VILLA LIBERTAD"
Córdoba,CORRAL DE BUSTOS,9,-33.2832106,-62.1863973,"Córdoba, CORRAL DE BUSTOS"
Provincia de Buenos Aires,La Plata,9,-34.9206797,-57.9537638,"Provincia de Buenos Aires, La Plata"
Provincia de Buenos Aires,TRES ARROYOS,9,-38.3770014,-60.2755685,"Provincia de Buenos Aires, TRES ARROYOS"
Provincia de Buenos Aires,GUERNICA,9,-34.9162101,-58.3811065,"Provincia de Buenos Aires, GUERNICA"
Provincia de Buenos Aires,TRISTAN SUAREZ,9,-34.8894215,-58.5678483,"Provincia de Buenos Aires, TRISTAN SUAREZ"
Provincia de Buenos Aires,JOSE C PAZ,9,-34.5119060,-58.7776777,"Provincia de Buenos Aires, JOSE C PAZ"
Provincia de Buenos Aires,VICENTE LOPEZ,9,-34.5244484,-58.5036282,"Provincia de Buenos Aires, VICENTE LOPEZ"
